DATE; IMOEX
02/05/2020; 3114.25
02/06/2020; 3096.68
02/07/2020; 3087.63
02/10/2020; 3062.41
02/11/2020; 3097.58
02/12/2020; 3122.27
02/13/2020; 3110.05
02/14/2020; 3096.88
02/17/2020; 3110.06
02/18/2020; 3074.05
02/19/2020; 3114.57
02/20/2020; 3125.1
02/21/2020; 3106.03
02/25/2020; 3002.68
02/26/2020; 3017.42
02/27/2020; 2915.84
02/28/2020; 2785.08
03/02/2020; 2765.77
03/03/2020; 2821.37
03/04/2020; 2828.01
03/05/2020; 2816.7
03/06/2020; 2719.51
03/10/2020; 2498.94
03/11/2020; 2492.88
03/12/2020; 2286.4
03/13/2020; 2316.38
03/16/2020; 2266.9
03/17/2020; 2224.74
03/18/2020; 2112.64
03/19/2020; 2275.7
03/20/2020; 2331.61
03/23/2020; 2253.35
03/24/2020; 2415.97
03/25/2020; 2452.69
03/26/2020; 2489.97
03/27/2020; 2401.11
03/30/2020; 2433.35
03/31/2020; 2508.81
04/01/2020; 2473.61
04/02/2020; 2545.95
04/03/2020; 2572.23
04/06/2020; 2622.59
04/07/2020; 2634.74
04/08/2020; 2670.12
04/09/2020; 2701.77
04/10/2020; 2677.86
04/13/2020; 2628.85
04/14/2020; 2631.83
04/15/2020; 2498.94
04/16/2020; 2515.05
04/17/2020; 2534.97
04/20/2020; 2525.97
04/21/2020; 2488.02
04/22/2020; 2573.41
04/23/2020; 2599.41
04/24/2020; 2562.03
04/27/2020; 2570.91
04/28/2020; 2612.24
04/29/2020; 2663.14
04/30/2020; 2650.56
05/04/2020; 2624.64
05/05/2020; 2653.51
05/06/2020; 2632.1
05/07/2020; 2634
05/08/2020; 2641.55
05/12/2020; 2642.04
05/13/2020; 2604.98
05/14/2020; 2590.31
05/15/2020; 2593.91
05/18/2020; 2694.25
05/19/2020; 2711.72
05/20/2020; 2770.79
05/21/2020; 2718.67
05/22/2020; 2709.38
05/25/2020; 2757.93
05/26/2020; 2754.04
05/27/2020; 2741.02
05/28/2020; 2779.98
05/29/2020; 2734.83
06/01/2020; 2750.24
06/02/2020; 2796.51
06/03/2020; 2831.08
06/04/2020; 2766.26
06/05/2020; 2792.74
06/08/2020; 2796.3
06/09/2020; 2795.9
06/10/2020; 2785.18
06/11/2020; 2743.8
06/15/2020; 2719.06
06/16/2020; 2748.3
06/17/2020; 2740.1
06/18/2020; 2724.33
06/19/2020; 2758.67
06/22/2020; 2763.29
06/23/2020; 2791.97
06/25/2020; 2760.75
06/26/2020; 2761.74
06/29/2020; 2767.95
06/30/2020; 2743.2
07/02/2020; 2788.79
07/03/2020; 2801.66
07/06/2020; 2835.18
07/07/2020; 2825.21
07/08/2020; 2815.83
07/09/2020; 2782.43
07/10/2020; 2800.94
07/13/2020; 2766.79
07/14/2020; 2744.54
07/15/2020; 2747.91
07/16/2020; 2760.01
07/17/2020; 2774.79
07/20/2020; 2802.24
07/21/2020; 2825.71
07/22/2020; 2834.65
07/23/2020; 2851.79
07/24/2020; 2863.12
07/27/2020; 2884.88
07/28/2020; 2895.45
07/29/2020; 2918.42
07/30/2020; 2882.63
07/31/2020; 2911.57
08/03/2020; 2929.97
08/04/2020; 2940.46
08/05/2020; 2992.78
08/06/2020; 2988.5
08/07/2020; 2972.35
08/10/2020; 2960.78
08/11/2020; 3005.63
08/12/2020; 3053.99
08/13/2020; 3080.44
08/14/2020; 3061.99
08/17/2020; 3052.46
08/18/2020; 3050.7
08/19/2020; 3056.54
08/20/2020; 2993.69
08/21/2020; 2995.61
08/24/2020; 3029.42
08/25/2020; 3029.05
08/26/2020; 3051.97
08/27/2020; 3012.01
08/28/2020; 2980.17
08/31/2020; 2966.2
09/01/2020; 2975
09/02/2020; 2956.5
09/03/2020; 2931.92
09/04/2020; 2921.55
09/07/2020; 2932.29
09/08/2020; 2888.79
09/09/2020; 2876.07
09/10/2020; 2897.55
09/11/2020; 2910.51
09/14/2020; 2928.38
09/15/2020; 2980.58
09/16/2020; 2975.01
09/17/2020; 2971.74
09/18/2020; 2951.79
09/21/2020; 2863.67
09/22/2020; 2884.66
09/23/2020; 2916.39
09/24/2020; 2912.76
09/25/2020; 2896.83
09/28/2020; 2927.17
09/29/2020; 2910.12
09/30/2020; 2905.81
10/01/2020; 2889.8
10/02/2020; 2852.42
10/05/2020; 2881.98
10/06/2020; 2892.99
10/07/2020; 2842.58
10/08/2020; 2846.39
10/09/2020; 2834.09
10/12/2020; 2846.14
10/13/2020; 2829.23
10/14/2020; 2856.08
10/15/2020; 2817.29
10/16/2020; 2799.54
10/19/2020; 2794.27
10/20/2020; 2803.06
10/21/2020; 2786.23
10/22/2020; 2803.17
10/23/2020; 2816.7
10/26/2020; 2785.59
10/27/2020; 2763.03
10/28/2020; 2693.46
10/29/2020; 2709.04
10/30/2020; 2690.59
11/02/2020; 2737.54
11/03/2020; 2786.42
11/05/2020; 2861.39
11/06/2020; 2895.62
11/09/2020; 2987.75
11/10/2020; 2998.61
11/11/2020; 3015.03
11/12/2020; 3025.83
11/13/2020; 3025.22
11/16/2020; 3079.74
11/17/2020; 3052.22
11/18/2020; 3080.68
11/19/2020; 3046.49
11/20/2020; 3051.04
11/23/2020; 3047.06
11/24/2020; 3095.84
11/25/2020; 3134.52
11/26/2020; 3138.62
11/27/2020; 3142.68
11/30/2020; 3107.58
12/01/2020; 3147.79
12/02/2020; 3189.61
12/03/2020; 3162.67
12/04/2020; 3184.72
12/07/2020; 3195.08
12/08/2020; 3179.61
12/09/2020; 3211.66
12/10/2020; 3258.31
12/11/2020; 3276.58
12/14/2020; 3254.83
12/15/2020; 3248.11
12/16/2020; 3269.95
12/17/2020; 3282.67
12/18/2020; 3273.75
12/21/2020; 3186.38
12/22/2020; 3236.46
12/23/2020; 3252.1
12/24/2020; 3236.88
12/25/2020; 3246.35
12/28/2020; 3258.95
12/29/2020; 3274.67
12/30/2020; 3289.02
01/04/2021; 3350.51
01/05/2021; 3359.15
01/06/2021; 3371.03
01/08/2021; 3454.82
01/11/2021; 3482.48
01/12/2021; 3471.65
01/13/2021; 3470.26
01/14/2021; 3490.85
01/15/2021; 3450.95
01/18/2021; 3471.92
01/19/2021; 3443.23
01/20/2021; 3466.8
01/21/2021; 3422.67
01/22/2021; 3382.92
01/25/2021; 3397.48
01/26/2021; 3390.76
01/27/2021; 3343.62
01/28/2021; 3342.01
01/29/2021; 3277.08
02/01/2021; 3291.14
02/02/2021; 3360.25
02/03/2021; 3343.46
02/04/2021; 3372
02/05/2021; 3392.73
