<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
CA,D,24/03/22,030000,10415.774435
CA,D,25/03/22,030000,10339.7147
CA,D,27/03/22,030000,10318.770715
CA,D,27/03/22,030000,10410.26286
CA,D,29/03/22,020000,10491.83417
CA,D,30/03/22,020000,10463.17398
CA,D,31/03/22,020000,10442.229995
CA,D,01/04/22,020000,10373.886465
CA,D,03/04/22,020000,10366.17026
CA,D,04/04/22,020000,10553.56381
CA,D,05/04/22,020000,10491.83417
CA,D,06/04/22,020000,10397.03508
CA,D,07/04/22,020000,10389.318875
CA,D,08/04/22,020000,10425.69527
CA,D,10/04/22,020000,10423.49064
CA,D,11/04/22,020000,10215.153105
CA,D,12/04/22,020000,10365.067945
CA,D,13/04/22,020000,10377.19341
CA,D,14/04/22,020000,10406.955915
CA,D,17/04/22,020000,10456.56009
CA,D,18/04/22,020000,10588.83789
CA,D,19/04/22,020000,10369.477205
CA,D,20/04/22,020000,10283.496635
CA,D,21/04/22,020000,10328.69155
CA,D,22/04/22,020000,10099.41003
CA,D,24/04/22,020000,10109.330865
CA,D,25/04/22,020000,9881.15166
CA,D,26/04/22,020000,9708.088205
CA,D,27/04/22,020000,9794.068775
CA,D,28/04/22,020000,9776.431735
CA,D,29/04/22,020000,9673.91644
CA,D,01/05/22,020000,9687.14422
CA,D,02/05/22,020000,9456.760385
CA,D,03/05/22,020000,9490.93215
CA,D,04/05/22,020000,9635.335415
CA,D,05/05/22,020000,9472.192795
CA,D,06/05/22,020000,9366.370555
CA,D,08/05/22,020000,9327.78953
CA,D,09/05/22,020000,9249.525165
CA,D,10/05/22,020000,9184.48858
CA,D,11/05/22,020000,9288.10619
CA,D,12/05/22,020000,9027.95985
CA,D,13/05/22,020000,9183.386265
CA,D,15/05/22,020000,9221.96729
CA,D,16/05/22,020000,9279.28767
CA,D,17/05/22,020000,9334.40342
CA,D,18/05/22,020000,9162.44228
CA,D,19/05/22,020000,9420.38399
CA,D,20/05/22,020000,9485.420575
CA,D,22/05/22,020000,9516.285395
CA,D,23/05/22,020000,9540.536325
CA,D,24/05/22,020000,9509.671505
CA,D,25/05/22,020000,9421.486305
CA,D,26/05/22,020000,9412.667785
CA,D,27/05/22,020000,9527.308545
CA,D,29/05/22,020000,9522.899285
CA,D,30/05/22,020000,9565.88957
CA,D,31/05/22,020000,9449.04418
CA,D,01/06/22,020000,9527.308545
CA,D,02/06/22,020000,10050.90817
CA,D,03/06/22,020000,9876.7424
CA,D,05/06/22,020000,9828.24054
CA,D,06/06/22,020000,9759.89701
CA,D,07/06/22,020000,9809.501185
CA,D,08/06/22,020000,9799.58035
CA,D,09/06/22,020000,9603.36828
CA,D,10/06/22,020000,9436.918715
CA,D,12/06/22,020000,9324.482585
CA,D,13/06/22,020000,9268.26452
CA,D,14/06/22,020000,9123.861255
CA,D,15/06/22,020000,9206.53488
CA,D,16/06/22,020000,9029.062165
CA,D,17/06/22,020000,8840.5663
CA,D,19/06/22,020000,8900.09131
CA,D,20/06/22,020000,8836.15704
CA,D,21/06/22,020000,8871.43112
CA,D,22/06/22,020000,8658.684325
CA,D,23/06/22,020000,8277.283335
CA,D,24/06/22,020000,8243.11157
CA,D,26/06/22,020000,8305.943525
CA,D,27/06/22,020000,8266.260185
CA,D,28/06/22,020000,8280.59028
CA,D,29/06/22,020000,8332.399085
CA,D,30/06/22,020000,8116.345345
CA,D,01/07/22,020000,7969.73745
CA,D,03/07/22,020000,7982.96523
CA,D,04/07/22,020000,7902.496235
CA,D,05/07/22,020000,7580.620255
CA,D,06/07/22,020000,7577.31331
CA,D,07/07/22,020000,7817.61798
CA,D,08/07/22,020000,7760.2976
CA,D,10/07/22,020000,7658.88462
CA,D,11/07/22,020000,7534.323025
CA,D,12/07/22,020000,7181.582225
CA,D,13/07/22,020000,7290.71141
CA,D,14/07/22,020000,7126.466475
CA,D,15/07/22,020000,7155.126665
CA,D,17/07/22,020000,7172.763705
