<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
GAZP,D,24/03/22,000000,258.51
GAZP,D,25/03/22,000000,227
GAZP,D,28/03/22,000000,218.6
GAZP,D,29/03/22,000000,208
GAZP,D,30/03/22,000000,216
GAZP,D,31/03/22,000000,242.48
GAZP,D,01/04/22,000000,251.4
GAZP,D,04/04/22,000000,252.9
GAZP,D,05/04/22,000000,243.5
GAZP,D,06/04/22,000000,239.7
GAZP,D,07/04/22,000000,245
GAZP,D,08/04/22,000000,241.07
GAZP,D,11/04/22,000000,234.55
GAZP,D,12/04/22,000000,236.3
GAZP,D,13/04/22,000000,234.87
GAZP,D,14/04/22,000000,222.11
GAZP,D,15/04/22,000000,224
GAZP,D,18/04/22,000000,216.99
GAZP,D,19/04/22,000000,220.72
GAZP,D,20/04/22,000000,218.92
GAZP,D,21/04/22,000000,210.29
GAZP,D,22/04/22,000000,208
GAZP,D,25/04/22,000000,206.35
GAZP,D,26/04/22,000000,225.85
GAZP,D,27/04/22,000000,237.15
GAZP,D,28/04/22,000000,237.53
GAZP,D,29/04/22,000000,240.4
GAZP,D,04/05/22,000000,234.16
GAZP,D,05/05/22,000000,238.6
GAZP,D,06/05/22,000000,240.1
GAZP,D,11/05/22,000000,241.99
GAZP,D,12/05/22,000000,230.56
GAZP,D,13/05/22,000000,235.52
GAZP,D,16/05/22,000000,244.2
GAZP,D,17/05/22,000000,258.8
GAZP,D,18/05/22,000000,264.84
GAZP,D,19/05/22,000000,266.68
GAZP,D,20/05/22,000000,263
GAZP,D,23/05/22,000000,263
GAZP,D,24/05/22,000000,265.8
GAZP,D,25/05/22,000000,271.4
GAZP,D,26/05/22,000000,295.89
GAZP,D,27/05/22,000000,294.5
GAZP,D,30/05/22,000000,300.8
GAZP,D,31/05/22,000000,293.75
GAZP,D,01/06/22,000000,297.69
GAZP,D,02/06/22,000000,296
GAZP,D,03/06/22,000000,297
GAZP,D,06/06/22,000000,296.5
GAZP,D,07/06/22,000000,297.99
GAZP,D,08/06/22,000000,308
GAZP,D,09/06/22,000000,306.5
GAZP,D,10/06/22,000000,309.2
GAZP,D,14/06/22,000000,317.69
GAZP,D,15/06/22,000000,316.2
GAZP,D,16/06/22,000000,316.99
GAZP,D,17/06/22,000000,315.5
GAZP,D,20/06/22,000000,311.98
GAZP,D,21/06/22,000000,301.58
GAZP,D,22/06/22,000000,295.8
GAZP,D,23/06/22,000000,303.5
GAZP,D,24/06/22,000000,296
GAZP,D,27/06/22,000000,296.2
GAZP,D,28/06/22,000000,297.2
GAZP,D,29/06/22,000000,297.65
GAZP,D,30/06/22,000000,207
GAZP,D,01/07/22,000000,192.5
GAZP,D,04/07/22,000000,186.25
GAZP,D,05/07/22,000000,197.3
GAZP,D,06/07/22,000000,195.42
GAZP,D,07/07/22,000000,197.92
GAZP,D,08/07/22,000000,198
GAZP,D,11/07/22,000000,188.9
GAZP,D,12/07/22,000000,191.4
GAZP,D,13/07/22,000000,186
GAZP,D,14/07/22,000000,184.55
GAZP,D,15/07/22,000000,187.61
GAZP,D,18/07/22,000000,186.7
GAZP,D,19/07/22,000000,189.51
GAZP,D,20/07/22,000000,193.3
GAZP,D,21/07/22,000000,189.59
GAZP,D,22/07/22,000000,192.25
GAZP,D,25/07/22,000000,192
GAZP,D,26/07/22,000000,193.95
GAZP,D,27/07/22,000000,196.49
GAZP,D,28/07/22,000000,196.25
GAZP,D,29/07/22,000000,195.26
GAZP,D,01/08/22,000000,192
GAZP,D,02/08/22,000000,187.16
GAZP,D,03/08/22,000000,187.04
GAZP,D,04/08/22,000000,184.9
GAZP,D,05/08/22,000000,176.58
GAZP,D,08/08/22,000000,177.86
GAZP,D,09/08/22,000000,181.04
GAZP,D,10/08/22,000000,178.81
GAZP,D,11/08/22,000000,174.1
GAZP,D,12/08/22,000000,174.36
GAZP,D,15/08/22,000000,174.8
GAZP,D,16/08/22,000000,181.3
GAZP,D,17/08/22,000000,176.5
GAZP,D,18/08/22,000000,178.87
GAZP,D,19/08/22,000000,177.6
GAZP,D,22/08/22,000000,181.7
GAZP,D,23/08/22,000000,184.3
GAZP,D,24/08/22,000000,182.83
GAZP,D,25/08/22,000000,181.9
GAZP,D,26/08/22,000000,183.62
GAZP,D,29/08/22,000000,190
GAZP,D,30/08/22,000000,204
GAZP,D,31/08/22,000000,254.9
GAZP,D,01/09/22,000000,249.11
GAZP,D,02/09/22,000000,252.8
GAZP,D,05/09/22,000000,250
GAZP,D,06/09/22,000000,246
GAZP,D,07/09/22,000000,241.55
GAZP,D,08/09/22,000000,243.95
GAZP,D,09/09/22,000000,245.34
GAZP,D,12/09/22,000000,243.3
GAZP,D,13/09/22,000000,242.64
GAZP,D,14/09/22,000000,243.32
GAZP,D,15/09/22,000000,243.68
