<DATE>,GAZP,BZ,CA,EURUSD,GC,SPX,USDRUB
24/03/22,258.51,118.2,10415.774435,1.10083,1961.5,4520.16,102.2056
25/03/22,227.0,119.98,10339.7147,1.0982,1957.6,4543.06,101.25
29/03/22,208.0,108.56,10491.83417,1.1091,1923.0,4631.6,85.0
30/03/22,216.0,111.0,10463.17398,1.116,1929.4,4602.45,83.4701
31/03/22,242.48,105.65,10442.229995,1.10725,1943.1,4530.41,81.7081
01/04/22,251.4,104.75,10373.886465,1.1047,1928.5,4545.86,85.0
04/04/22,252.9,107.98,10553.56381,1.09749,1932.0,4582.64,82.25
05/04/22,243.5,105.68,10491.83417,1.09057,1926.6,4525.12,83.9925
06/04/22,239.7,101.65,10397.03508,1.0896,1925.0,4481.15,82.115
07/04/22,245.0,101.41,10389.318875,1.08639,1933.9,4500.21,78.5
08/04/22,241.07,102.4,10425.69527,1.0875,1950.4,4488.28,79.5
11/04/22,234.55,99.35,10215.153105,1.0877,1963.2,4412.53,82.75
12/04/22,236.3,104.93,10365.067945,1.08257,1973.6,4397.45,85.3625
13/04/22,234.87,108.88,10377.19341,1.08948,1977.2,4446.59,81.925
14/04/22,222.11,111.66,10406.955915,1.08194,1977.1,4392.59,81.875
18/04/22,216.99,112.84,10588.83789,1.07799,1981.8,4391.69,80.375
19/04/22,220.72,107.6,10369.477205,1.07939,1946.5,4462.21,80.9679
20/04/22,218.92,107.23,10283.496635,1.08486,1953.5,4459.45,82.25
21/04/22,210.29,108.83,10328.69155,1.08348,1952.1,4393.66,80.8626
22/04/22,208.0,106.2,10099.41003,1.0794,1932.5,4271.78,76.625
25/04/22,206.35,102.63,9881.15166,1.07123,1903.2,4296.12,75.025
26/04/22,225.85,104.87,9708.088205,1.0641,1899.6,4175.2,74.875
27/04/22,237.15,104.94,9794.068775,1.05541,1879.2,4183.96,73.881
28/04/22,237.53,107.12,9776.431735,1.05021,1905.6,4287.5,72.7522
29/04/22,240.4,106.08,9673.91644,1.0541,1896.9,4131.93,70.6
04/05/22,234.16,110.22,9635.335415,1.06196,1901.8,4300.17,65.375
05/05/22,238.6,111.06,9472.192795,1.05391,1876.5,4146.87,64.075
06/05/22,240.1,113.22,9366.370555,1.0551,1882.8,4123.34,67.5
11/05/22,241.99,107.51,9288.10619,1.05117,1852.7,3935.18,66.0
12/05/22,230.56,107.92,9027.95985,1.0377,1823.2,3930.08,65.1145
13/05/22,235.52,111.22,9183.386265,1.0412,1810.3,4023.89,64.5
16/05/22,244.2,114.03,9279.28767,1.04388,1821.7,4008.01,63.875
17/05/22,258.8,112.83,9334.40342,1.05477,1806.4,4088.85,64.25
18/05/22,264.84,109.25,9162.44228,1.04728,1814.1,3923.68,63.5
19/05/22,266.68,111.5,9420.38399,1.05791,1840.1,3900.79,62.1176
20/05/22,263.0,112.91,9485.420575,1.056,1845.1,3901.36,61.25
23/05/22,263.0,113.47,9540.536325,1.06834,1854.0,3973.75,58.5856
24/05/22,265.8,113.84,9509.671505,1.07325,1861.1,3941.48,56.375
25/05/22,271.4,114.5,9421.486305,1.06866,1848.7,3978.73,60.2
26/05/22,295.89,114.46,9412.667785,1.07324,1852.4,4057.84,64.0
27/05/22,294.5,115.32,9527.308545,1.07317,1850.6,4158.24,65.75
31/05/22,293.75,116.27,9449.04418,1.07337,1839.0,4132.15,62.0
01/06/22,297.69,115.9,9527.308545,1.06509,1847.2,4101.23,63.4823
02/06/22,296.0,118.29,10050.90817,1.07502,1872.3,4176.82,62.75
03/06/22,297.0,121.08,9876.7424,1.0719,1853.9,4108.54,62.61
06/06/22,296.5,119.99,9759.89701,1.0689,1842.4,4121.43,61.3812
07/06/22,297.99,121.0,9809.501185,1.06972,1848.8,4160.68,61.0
08/06/22,308.0,123.94,9799.58035,1.07162,1857.5,4115.77,60.74
09/06/22,306.5,122.93,9603.36828,1.0618,1846.9,4017.82,58.0124
10/06/22,309.2,121.93,9436.918715,1.0515,1875.2,3900.86,55.125
14/06/22,317.69,121.09,9123.861255,1.04367,1816.8,3735.48,58.3542
