<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
GC,D,24/03/22,070000,1961.5
GC,D,25/03/22,070000,1957.6
GC,D,27/03/22,070000,1944.1
GC,D,28/03/22,070000,1924.9
GC,D,29/03/22,070000,1923
GC,D,30/03/22,070000,1929.4
GC,D,31/03/22,070000,1943.1
GC,D,01/04/22,070000,1928.5
GC,D,03/04/22,070000,1922.7
GC,D,04/04/22,070000,1932
GC,D,05/04/22,070000,1926.6
GC,D,06/04/22,070000,1925
GC,D,07/04/22,070000,1933.9
GC,D,08/04/22,070000,1950.4
GC,D,10/04/22,070000,1946
GC,D,11/04/22,070000,1963.2
GC,D,12/04/22,070000,1973.6
GC,D,13/04/22,070000,1977.2
GC,D,14/04/22,070000,1977.1
GC,D,17/04/22,070000,1988.6
GC,D,18/04/22,070000,1981.8
GC,D,19/04/22,070000,1946.5
GC,D,20/04/22,070000,1953.5
GC,D,21/04/22,070000,1952.1
GC,D,22/04/22,070000,1932.5
GC,D,24/04/22,070000,1925.3
GC,D,25/04/22,070000,1903.2
GC,D,26/04/22,070000,1899.6
GC,D,27/04/22,070000,1879.2
GC,D,28/04/22,070000,1905.6
GC,D,29/04/22,070000,1896.9
GC,D,01/05/22,070000,1888.8
GC,D,02/05/22,070000,1862.3
GC,D,03/05/22,070000,1864.5
GC,D,04/05/22,070000,1901.8
GC,D,05/05/22,070000,1876.5
GC,D,06/05/22,070000,1882.8
GC,D,08/05/22,070000,1874.6
GC,D,09/05/22,070000,1863.5
GC,D,10/05/22,070000,1835.2
GC,D,11/05/22,070000,1852.7
GC,D,12/05/22,070000,1823.2
GC,D,13/05/22,070000,1810.3
GC,D,15/05/22,070000,1808.6
GC,D,16/05/22,070000,1821.7
GC,D,17/05/22,070000,1806.4
GC,D,18/05/22,070000,1814.1
GC,D,19/05/22,070000,1840.1
GC,D,20/05/22,070000,1845.1
GC,D,22/05/22,070000,1853.1
GC,D,23/05/22,070000,1854
GC,D,24/05/22,070000,1861.1
GC,D,25/05/22,070000,1848.7
GC,D,26/05/22,070000,1852.4
GC,D,27/05/22,070000,1850.6
GC,D,29/05/22,070000,1857.3
GC,D,30/05/22,070000,1854.8
GC,D,31/05/22,070000,1839
GC,D,01/06/22,070000,1847.2
GC,D,02/06/22,070000,1872.3
GC,D,03/06/22,070000,1853.9
GC,D,05/06/22,070000,1858.7
GC,D,06/06/22,070000,1842.4
GC,D,07/06/22,070000,1848.8
GC,D,08/06/22,070000,1857.5
GC,D,09/06/22,070000,1846.9
GC,D,10/06/22,070000,1875.2
GC,D,12/06/22,070000,1867
GC,D,13/06/22,070000,1826.8
GC,D,14/06/22,070000,1816.8
GC,D,15/06/22,070000,1834.6
GC,D,16/06/22,070000,1844.6
GC,D,17/06/22,070000,1841.9
GC,D,19/06/22,070000,1846
GC,D,20/06/22,070000,1842.3
GC,D,21/06/22,070000,1829.4
GC,D,22/06/22,070000,1834.3
GC,D,23/06/22,070000,1826.2
GC,D,24/06/22,070000,1828.1
GC,D,26/06/22,070000,1836.9
GC,D,27/06/22,070000,1827.3
GC,D,28/06/22,070000,1821.5
GC,D,29/06/22,070000,1817.9
GC,D,30/06/22,070000,1801.5
GC,D,01/07/22,070000,1812.9
GC,D,03/07/22,070000,1812.2
GC,D,04/07/22,070000,1811.4
GC,D,05/07/22,070000,1767.4
GC,D,06/07/22,070000,1743.9
GC,D,07/07/22,070000,1740.4
GC,D,08/07/22,070000,1740.9
GC,D,10/07/22,070000,1740.8
GC,D,11/07/22,070000,1731.5
GC,D,12/07/22,070000,1725.2
GC,D,13/07/22,070000,1730.1
GC,D,14/07/22,070000,1706
GC,D,15/07/22,070000,1706.5
GC,D,17/07/22,070000,1714.5
GC,D,18/07/22,070000,1707.1
GC,D,19/07/22,070000,1710.3
GC,D,20/07/22,070000,1689
GC,D,21/07/22,070000,1712.5
GC,D,22/07/22,070000,1725.3
GC,D,24/07/22,070000,1725.6
GC,D,25/07/22,070000,1722.2
GC,D,26/07/22,070000,1714.6
GC,D,27/07/22,070000,1735
GC,D,28/07/22,070000,1779.1
GC,D,29/07/22,070000,1782.7
GC,D,31/07/22,070000,1778
GC,D,01/08/22,070000,1790.9
GC,D,02/08/22,070000,1785
GC,D,03/08/22,070000,1787
GC,D,04/08/22,070000,1809
GC,D,05/08/22,070000,1792.4
GC,D,07/08/22,070000,1789.1
GC,D,08/08/22,070000,1802
GC,D,09/08/22,070000,1807.4
GC,D,10/08/22,070000,1801.1
GC,D,11/08/22,070000,1806.5
GC,D,12/08/22,070000,1818.9
GC,D,14/08/22,070000,1811.1
GC,D,15/08/22,070000,1796.2
GC,D,16/08/22,070000,1790.1
GC,D,17/08/22,070000,1775.9
GC,D,18/08/22,070000,1767.2
GC,D,19/08/22,070000,1760.3
GC,D,21/08/22,070000,1759.6
GC,D,22/08/22,070000,1751.2
GC,D,23/08/22,070000,1758.1
GC,D,24/08/22,070000,1769.2
GC,D,25/08/22,070000,1770.2
GC,D,26/08/22,070000,1750.8
GC,D,28/08/22,070000,1735.9
GC,D,29/08/22,070000,1747.1
GC,D,30/08/22,070000,1735.3
GC,D,31/08/22,070000,1715.2
GC,D,01/09/22,070000,1710.3
GC,D,02/09/22,070000,1722.6
GC,D,04/09/22,070000,1722.9
GC,D,05/09/22,070000,1729
GC,D,06/09/22,070000,1704
GC,D,07/09/22,070000,1725.7
GC,D,08/09/22,070000,1729.9
GC,D,09/09/22,070000,1727.6
GC,D,11/09/22,070000,1724
GC,D,12/09/22,070000,1731.9
GC,D,13/09/22,070000,1710.4
GC,D,14/09/22,070000,1701.9
GC,D,15/09/22,070000,1672.7
GC,D,16/09/22,070000,1684.5
GC,D,18/09/22,070000,1677.4
GC,D,19/09/22,070000,1685.3
GC,D,20/09/22,070000,1671.7
GC,D,21/09/22,070000,1668.3
GC,D,22/09/22,070000,1677
GC,D,23/09/22,070000,1651.7
GC,D,25/09/22,070000,1645.3
GC,D,26/09/22,070000,1638.1
GC,D,27/09/22,070000,1631.6
GC,D,28/09/22,070000,1662.8
GC,D,29/09/22,070000,1670.1
GC,D,30/09/22,070000,1668.3
GC,D,02/10/22,070000,1672.2
GC,D,03/10/22,070000,1708.8
GC,D,04/10/22,070000,1728.2
GC,D,05/10/22,070000,1730.7
GC,D,06/10/22,070000,1717.6
GC,D,07/10/22,070000,1701.8
GC,D,09/10/22,070000,1695.9
GC,D,10/10/22,070000,1670.7
GC,D,11/10/22,070000,1672
GC,D,12/10/22,070000,1675.7
GC,D,13/10/22,070000,1674.9
