<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
SBER,D,24/03/22,000000,136.24
SBER,D,25/03/22,000000,131.5
SBER,D,28/03/22,000000,125
SBER,D,29/03/22,000000,128.77
SBER,D,30/03/22,000000,134.6
SBER,D,31/03/22,000000,143.69
SBER,D,01/04/22,000000,154.5
SBER,D,04/04/22,000000,166
SBER,D,05/04/22,000000,154.1
SBER,D,06/04/22,000000,141.6
SBER,D,07/04/22,000000,147.5
SBER,D,08/04/22,000000,143.72
SBER,D,11/04/22,000000,138.69
SBER,D,12/04/22,000000,135.38
SBER,D,13/04/22,000000,135.5
SBER,D,14/04/22,000000,129.05
SBER,D,15/04/22,000000,130.88
SBER,D,18/04/22,000000,123.85
SBER,D,19/04/22,000000,120.3
SBER,D,20/04/22,000000,121.5
SBER,D,21/04/22,000000,118.65
SBER,D,22/04/22,000000,116.97
SBER,D,25/04/22,000000,111.9
SBER,D,26/04/22,000000,122.36
SBER,D,27/04/22,000000,131.11
SBER,D,28/04/22,000000,123.85
SBER,D,29/04/22,000000,128.8
SBER,D,04/05/22,000000,123.2
SBER,D,05/05/22,000000,124.8
SBER,D,06/05/22,000000,123.1
SBER,D,11/05/22,000000,123.34
SBER,D,12/05/22,000000,119.15
SBER,D,13/05/22,000000,120.2
SBER,D,16/05/22,000000,123.41
SBER,D,17/05/22,000000,127.75
SBER,D,18/05/22,000000,125.12
SBER,D,19/05/22,000000,125.6
SBER,D,20/05/22,000000,122.2
SBER,D,23/05/22,000000,119.46
SBER,D,24/05/22,000000,123.6
SBER,D,25/05/22,000000,124.15
SBER,D,26/05/22,000000,123
SBER,D,27/05/22,000000,121.22
SBER,D,30/05/22,000000,120.67
SBER,D,31/05/22,000000,118.3
SBER,D,01/06/22,000000,121.97
SBER,D,02/06/22,000000,119
SBER,D,03/06/22,000000,119.21
SBER,D,06/06/22,000000,118.78
SBER,D,07/06/22,000000,118.32
SBER,D,08/06/22,000000,119.9
SBER,D,09/06/22,000000,118.2
SBER,D,10/06/22,000000,118.07
SBER,D,14/06/22,000000,118.98
SBER,D,15/06/22,000000,121.14
SBER,D,16/06/22,000000,123.73
SBER,D,17/06/22,000000,123.88
SBER,D,20/06/22,000000,131.29
SBER,D,21/06/22,000000,129.1
SBER,D,22/06/22,000000,133.11
SBER,D,23/06/22,000000,136.85
SBER,D,24/06/22,000000,137.76
SBER,D,27/06/22,000000,141.15
SBER,D,28/06/22,000000,139.99
SBER,D,29/06/22,000000,132.8
SBER,D,30/06/22,000000,125.2
SBER,D,01/07/22,000000,129.91
SBER,D,04/07/22,000000,131.43
SBER,D,05/07/22,000000,133.5
SBER,D,06/07/22,000000,134
SBER,D,07/07/22,000000,133.09
SBER,D,08/07/22,000000,133.3
SBER,D,11/07/22,000000,126.8
SBER,D,12/07/22,000000,129
SBER,D,13/07/22,000000,126
SBER,D,14/07/22,000000,125.9
SBER,D,15/07/22,000000,128.9
SBER,D,18/07/22,000000,128.11
SBER,D,19/07/22,000000,127.76
SBER,D,20/07/22,000000,126.44
SBER,D,21/07/22,000000,125.48
SBER,D,22/07/22,000000,128.82
SBER,D,25/07/22,000000,131.45
SBER,D,26/07/22,000000,132.9
SBER,D,27/07/22,000000,132.5
SBER,D,28/07/22,000000,131.72
SBER,D,29/07/22,000000,131.9
SBER,D,01/08/22,000000,127.34
SBER,D,02/08/22,000000,127.53
SBER,D,03/08/22,000000,126.85
SBER,D,04/08/22,000000,126.95
SBER,D,05/08/22,000000,122.4
SBER,D,08/08/22,000000,123.81
SBER,D,09/08/22,000000,126.4
SBER,D,10/08/22,000000,126.2
SBER,D,11/08/22,000000,123.45
SBER,D,12/08/22,000000,124.88
SBER,D,15/08/22,000000,125
SBER,D,16/08/22,000000,126.39
SBER,D,17/08/22,000000,124.5
SBER,D,18/08/22,000000,126.3
SBER,D,19/08/22,000000,125.2
SBER,D,22/08/22,000000,126.06
SBER,D,23/08/22,000000,130.38
SBER,D,24/08/22,000000,128.15
SBER,D,25/08/22,000000,128.18
SBER,D,26/08/22,000000,130.4
SBER,D,29/08/22,000000,131.17
SBER,D,30/08/22,000000,130.05
SBER,D,31/08/22,000000,134.25
SBER,D,01/09/22,000000,138.2
SBER,D,02/09/22,000000,143.8
SBER,D,05/09/22,000000,141
SBER,D,06/09/22,000000,137.23
SBER,D,07/09/22,000000,136.86
SBER,D,08/09/22,000000,134.51
SBER,D,09/09/22,000000,138.15
SBER,D,12/09/22,000000,138.7
SBER,D,13/09/22,000000,137
SBER,D,14/09/22,000000,138.9
SBER,D,15/09/22,000000,139.48
SBER,D,16/09/22,000000,137.73
SBER,D,19/09/22,000000,138.04
SBER,D,20/09/22,000000,125.1
SBER,D,21/09/22,000000,120.23
SBER,D,22/09/22,000000,124.31
SBER,D,23/09/22,000000,119.39
SBER,D,26/09/22,000000,107.06
SBER,D,27/09/22,000000,112.92
SBER,D,28/09/22,000000,111.06
SBER,D,29/09/22,000000,110.41
SBER,D,30/09/22,000000,110.21
SBER,D,03/10/22,000000,114.35
SBER,D,04/10/22,000000,110.55
SBER,D,05/10/22,000000,108.51
SBER,D,06/10/22,000000,108.24
SBER,D,07/10/22,000000,101.5
SBER,D,10/10/22,000000,106.71
SBER,D,11/10/22,000000,107.72
SBER,D,12/10/22,000000,105.9
SBER,D,13/10/22,000000,106.5
SBER,D,14/10/22,000000,107.78
SBER,D,17/10/22,000000,112.44
SBER,D,18/10/22,000000,110.88
SBER,D,19/10/22,000000,112.39
SBER,D,20/10/22,000000,116.98
SBER,D,21/10/22,000000,119.45
SBER,D,24/10/22,000000,118.8
SBER,D,25/10/22,000000,124.36
SBER,D,26/10/22,000000,124.43
SBER,D,27/10/22,000000,126.61
SBER,D,28/10/22,000000,126.97
SBER,D,31/10/22,000000,126.72
SBER,D,01/11/22,000000,127.05
SBER,D,02/11/22,000000,125.49
SBER,D,03/11/22,000000,125.75
SBER,D,07/11/22,000000,132
SBER,D,08/11/22,000000,131.29
SBER,D,09/11/22,000000,127.3
SBER,D,10/11/22,000000,136.68
SBER,D,11/11/22,000000,136.98
SBER,D,14/11/22,000000,139.8
SBER,D,15/11/22,000000,135.66
SBER,D,16/11/22,000000,139.18
SBER,D,17/11/22,000000,137.57
SBER,D,18/11/22,000000,136.89
SBER,D,21/11/22,000000,134.46
SBER,D,22/11/22,000000,135.65
SBER,D,23/11/22,000000,136.59
SBER,D,24/11/22,000000,136.61
SBER,D,25/11/22,000000,136.53
SBER,D,28/11/22,000000,135.53
SBER,D,29/11/22,000000,136.37
SBER,D,30/11/22,000000,136.78
SBER,D,01/12/22,000000,137.15
SBER,D,02/12/22,000000,136.66
SBER,D,05/12/22,000000,142
SBER,D,06/12/22,000000,140.61
SBER,D,07/12/22,000000,142.32
SBER,D,08/12/22,000000,139.92
SBER,D,09/12/22,000000,140.03
SBER,D,12/12/22,000000,139.48
SBER,D,13/12/22,000000,138.13
SBER,D,14/12/22,000000,137.3
SBER,D,15/12/22,000000,134.55
SBER,D,16/12/22,000000,135.45
SBER,D,19/12/22,000000,134.64
SBER,D,20/12/22,000000,138.28
SBER,D,21/12/22,000000,137.75
SBER,D,22/12/22,000000,137.69
SBER,D,23/12/22,000000,137.94
SBER,D,26/12/22,000000,140.95
SBER,D,27/12/22,000000,139.9
SBER,D,28/12/22,000000,139.51
SBER,D,29/12/22,000000,140.96
SBER,D,30/12/22,000000,141.15
SBER,D,03/01/23,000000,141.78
SBER,D,04/01/23,000000,141.43
SBER,D,05/01/23,000000,141.27
SBER,D,06/01/23,000000,141.4
SBER,D,09/01/23,000000,142.4
SBER,D,10/01/23,000000,142.81
SBER,D,11/01/23,000000,149.96
SBER,D,12/01/23,000000,149.3
SBER,D,13/01/23,000000,151.69
SBER,D,16/01/23,000000,153.71
SBER,D,17/01/23,000000,150.45
SBER,D,18/01/23,000000,151.47
SBER,D,19/01/23,000000,149.34
SBER,D,20/01/23,000000,151.38
SBER,D,23/01/23,000000,153.5
SBER,D,24/01/23,000000,152.66
SBER,D,25/01/23,000000,152.81
SBER,D,26/01/23,000000,152.4
SBER,D,27/01/23,000000,153.2
SBER,D,30/01/23,000000,153.38
SBER,D,31/01/23,000000,158.07
SBER,D,01/02/23,000000,158.29
SBER,D,02/02/23,000000,159.45
SBER,D,03/02/23,000000,161.26
SBER,D,06/02/23,000000,167.09
SBER,D,07/02/23,000000,165.39
SBER,D,08/02/23,000000,164.15
SBER,D,09/02/23,000000,165.31
SBER,D,10/02/23,000000,165.52
SBER,D,13/02/23,000000,164.32
SBER,D,14/02/23,000000,161.86
SBER,D,15/02/23,000000,156.25
SBER,D,16/02/23,000000,158.22
SBER,D,17/02/23,000000,159.73
SBER,D,20/02/23,000000,160.09
SBER,D,21/02/23,000000,164.15
SBER,D,22/02/23,000000,163.37
SBER,D,24/02/23,000000,164.3
SBER,D,27/02/23,000000,169.95
SBER,D,28/02/23,000000,169.82
SBER,D,01/03/23,000000,170.53
SBER,D,02/03/23,000000,168.05
SBER,D,03/03/23,000000,171.16
SBER,D,06/03/23,000000,171.84
SBER,D,07/03/23,000000,174.01
SBER,D,09/03/23,000000,172.55
SBER,D,10/03/23,000000,172.53
SBER,D,13/03/23,000000,172.15
SBER,D,14/03/23,000000,175.71
SBER,D,15/03/23,000000,175.3
SBER,D,16/03/23,000000,175.45
SBER,D,17/03/23,000000,193.59
SBER,D,20/03/23,000000,203.73
SBER,D,21/03/23,000000,203.32
SBER,D,22/03/23,000000,202.89
SBER,D,23/03/23,000000,202.58
SBER,D,24/03/23,000000,203.57
SBER,D,27/03/23,000000,211.84
SBER,D,28/03/23,000000,214.03
SBER,D,29/03/23,000000,217.99
SBER,D,30/03/23,000000,216.87
SBER,D,31/03/23,000000,216.6
SBER,D,03/04/23,000000,216.09
SBER,D,04/04/23,000000,214.83
SBER,D,05/04/23,000000,216.15
SBER,D,06/04/23,000000,214.25
SBER,D,07/04/23,000000,216.27
SBER,D,10/04/23,000000,222.21
SBER,D,11/04/23,000000,218.6
SBER,D,12/04/23,000000,219.22
SBER,D,13/04/23,000000,219.85
SBER,D,14/04/23,000000,221.87
SBER,D,17/04/23,000000,228.1
SBER,D,18/04/23,000000,232.66
SBER,D,19/04/23,000000,232.95
SBER,D,20/04/23,000000,236.28
SBER,D,21/04/23,000000,235.17
SBER,D,24/04/23,000000,235.1
SBER,D,25/04/23,000000,235.3
SBER,D,26/04/23,000000,235.21
SBER,D,27/04/23,000000,240.38
SBER,D,28/04/23,000000,240.38
SBER,D,02/05/23,000000,242.62
SBER,D,03/05/23,000000,235.77
SBER,D,04/05/23,000000,238.89
SBER,D,05/05/23,000000,237.7
SBER,D,08/05/23,000000,238.27
SBER,D,10/05/23,000000,227.06
SBER,D,11/05/23,000000,229.32
SBER,D,12/05/23,000000,229.29
SBER,D,15/05/23,000000,231.7
SBER,D,16/05/23,000000,230.62
SBER,D,17/05/23,000000,230.55
SBER,D,18/05/23,000000,231.7
SBER,D,19/05/23,000000,231.27
SBER,D,22/05/23,000000,231
SBER,D,23/05/23,000000,236.43
SBER,D,24/05/23,000000,246.06
SBER,D,25/05/23,000000,243.76
