<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
SPX,D,24/03/22,030000,4520.16
SPX,D,25/03/22,030000,4543.06
SPX,D,28/03/22,030000,4575.52
SPX,D,29/03/22,030000,4631.6
SPX,D,30/03/22,030000,4602.45
SPX,D,31/03/22,030000,4530.41
SPX,D,01/04/22,030000,4545.86
SPX,D,04/04/22,030000,4582.64
SPX,D,05/04/22,030000,4525.12
SPX,D,06/04/22,030000,4481.15
SPX,D,07/04/22,030000,4500.21
SPX,D,08/04/22,030000,4488.28
SPX,D,11/04/22,030000,4412.53
SPX,D,12/04/22,030000,4397.45
SPX,D,13/04/22,030000,4446.59
SPX,D,14/04/22,030000,4392.59
SPX,D,18/04/22,030000,4391.69
SPX,D,19/04/22,030000,4462.21
SPX,D,20/04/22,030000,4459.45
SPX,D,21/04/22,030000,4393.66
SPX,D,22/04/22,030000,4271.78
SPX,D,25/04/22,030000,4296.12
SPX,D,26/04/22,030000,4175.2
SPX,D,27/04/22,030000,4183.96
SPX,D,28/04/22,030000,4287.5
SPX,D,29/04/22,030000,4131.93
SPX,D,02/05/22,030000,4155.38
SPX,D,03/05/22,030000,4175.48
SPX,D,04/05/22,030000,4300.17
SPX,D,05/05/22,030000,4146.87
SPX,D,06/05/22,030000,4123.34
SPX,D,09/05/22,030000,3991.24
SPX,D,10/05/22,030000,4001.05
SPX,D,11/05/22,030000,3935.18
SPX,D,12/05/22,030000,3930.08
SPX,D,13/05/22,030000,4023.89
SPX,D,16/05/22,030000,4008.01
SPX,D,17/05/22,030000,4088.85
SPX,D,18/05/22,030000,3923.68
SPX,D,19/05/22,030000,3900.79
SPX,D,20/05/22,030000,3901.36
SPX,D,23/05/22,030000,3973.75
SPX,D,24/05/22,030000,3941.48
SPX,D,25/05/22,030000,3978.73
SPX,D,26/05/22,030000,4057.84
SPX,D,27/05/22,030000,4158.24
SPX,D,31/05/22,030000,4132.15
SPX,D,01/06/22,030000,4101.23
SPX,D,02/06/22,030000,4176.82
SPX,D,03/06/22,030000,4108.54
SPX,D,06/06/22,030000,4121.43
SPX,D,07/06/22,030000,4160.68
SPX,D,08/06/22,030000,4115.77
SPX,D,09/06/22,030000,4017.82
SPX,D,10/06/22,030000,3900.86
SPX,D,13/06/22,030000,3749.63
SPX,D,14/06/22,030000,3735.48
SPX,D,15/06/22,030000,3789.99
SPX,D,16/06/22,030000,3666.77
SPX,D,17/06/22,030000,3674.84
SPX,D,21/06/22,030000,3764.79
SPX,D,22/06/22,030000,3759.89
SPX,D,23/06/22,030000,3795.73
SPX,D,24/06/22,030000,3911.74
SPX,D,27/06/22,030000,3900.11
SPX,D,28/06/22,030000,3821.55
SPX,D,29/06/22,030000,3818.83
SPX,D,30/06/22,030000,3785.38
SPX,D,01/07/22,030000,3825.33
SPX,D,05/07/22,030000,3831.39
SPX,D,06/07/22,030000,3845.08
SPX,D,07/07/22,030000,3902.62
SPX,D,08/07/22,030000,3899.38
SPX,D,11/07/22,030000,3854.43
SPX,D,12/07/22,030000,3818.8
SPX,D,13/07/22,030000,3801.78
SPX,D,14/07/22,030000,3790.38
SPX,D,15/07/22,030000,3863.16
SPX,D,18/07/22,030000,3830.85
SPX,D,19/07/22,030000,3936.69
SPX,D,20/07/22,030000,3959.9
SPX,D,21/07/22,030000,3998.95
SPX,D,22/07/22,030000,3961.63
SPX,D,25/07/22,030000,3966.84
SPX,D,26/07/22,030000,3921.05
SPX,D,27/07/22,030000,4023.61
SPX,D,28/07/22,030000,4072.43
SPX,D,29/07/22,030000,4130.29
SPX,D,01/08/22,030000,4118.63
SPX,D,02/08/22,030000,4091.19
SPX,D,03/08/22,030000,4155.17
SPX,D,04/08/22,030000,4151.94
