<DATE>;GAZP
24.03.2022;258.51
25.03.2022;227
28.03.2022;218.6
29.03.2022;208
30.03.2022;216
31.03.2022;242.48
01.04.2022;251.4
04.04.2022;252.9
05.04.2022;243.5
06.04.2022;239.7
07.04.2022;245
08.04.2022;241.07
11.04.2022;234.55
12.04.2022;236.3
13.04.2022;234.87
14.04.2022;222.11
15.04.2022;224
18.04.2022;216.99
19.04.2022;220.72
20.04.2022;218.92
21.04.2022;210.29
22.04.2022;208
25.04.2022;206.35
26.04.2022;225.85
27.04.2022;237.15
28.04.2022;237.53
29.04.2022;240.4
04.05.2022;234.16
05.05.2022;238.6
06.05.2022;240.1
11.05.2022;241.99
12.05.2022;230.56
13.05.2022;235.52
16.05.2022;244.2
17.05.2022;258.8
18.05.2022;264.84
19.05.2022;266.68
20.05.2022;263
23.05.2022;263
24.05.2022;265.8
25.05.2022;271.4
26.05.2022;295.89
27.05.2022;294.5
30.05.2022;300.8
31.05.2022;293.75
01.06.2022;297.69
02.06.2022;296
03.06.2022;297
06.06.2022;296.5
07.06.2022;297.99
08.06.2022;308
09.06.2022;306.5
10.06.2022;309.2
14.06.2022;317.69
15.06.2022;316.2
16.06.2022;316.99
17.06.2022;315.5
20.06.2022;311.98
21.06.2022;301.58
22.06.2022;295.8
23.06.2022;303.5
24.06.2022;296
27.06.2022;296.2
28.06.2022;297.2
29.06.2022;297.65
30.06.2022;207
01.07.2022;192.5
04.07.2022;186.25
05.07.2022;197.3
06.07.2022;195.42
07.07.2022;197.92
08.07.2022;198
11.07.2022;188.9
12.07.2022;191.4
13.07.2022;186
14.07.2022;184.55
15.07.2022;187.61
18.07.2022;186.7
19.07.2022;189.51
20.07.2022;193.3
21.07.2022;189.59
22.07.2022;192.25
25.07.2022;192
26.07.2022;193.95
27.07.2022;196.49
28.07.2022;196.25
29.07.2022;195.26
01.08.2022;192
02.08.2022;187.16
03.08.2022;187.04
04.08.2022;184.9
05.08.2022;176.58
08.08.2022;177.86
09.08.2022;181.04
10.08.2022;178.81
11.08.2022;174.1
12.08.2022;174.36
15.08.2022;174.8
16.08.2022;181.3
17.08.2022;176.5
18.08.2022;178.87
19.08.2022;177.6
22.08.2022;181.7
23.08.2022;184.3
24.08.2022;182.83
25.08.2022;181.9
26.08.2022;183.62
29.08.2022;190
30.08.2022;204
31.08.2022;254.9
01.09.2022;249.11
02.09.2022;252.8
05.09.2022;250
06.09.2022;246
07.09.2022;241.55
08.09.2022;243.95
09.09.2022;245.34
12.09.2022;243.3
13.09.2022;242.64
14.09.2022;243.32
15.09.2022;243.68
16.09.2022;243.8
19.09.2022;244.21
