GOLD;<CLOSE>
24.03.2022;1961.5
25.03.2022;1957.6
27.03.2022;1944.1
28.03.2022;1924.9
29.03.2022;1923
30.03.2022;1929.4
31.03.2022;1943.1
01.04.2022;1928.5
03.04.2022;1922.7
04.04.2022;1932
05.04.2022;1926.6
06.04.2022;1925
07.04.2022;1933.9
08.04.2022;1950.4
10.04.2022;1946
11.04.2022;1963.2
12.04.2022;1973.6
13.04.2022;1977.2
14.04.2022;1977.1
17.04.2022;1988.6
18.04.2022;1981.8
19.04.2022;1946.5
20.04.2022;1953.5
21.04.2022;1952.1
22.04.2022;1932.5
24.04.2022;1925.3
25.04.2022;1903.2
26.04.2022;1899.6
27.04.2022;1879.2
28.04.2022;1905.6
29.04.2022;1896.9
01.05.2022;1888.8
02.05.2022;1862.3
03.05.2022;1864.5
04.05.2022;1901.8
05.05.2022;1876.5
06.05.2022;1882.8
08.05.2022;1874.6
09.05.2022;1863.5
10.05.2022;1835.2
11.05.2022;1852.7
12.05.2022;1823.2
13.05.2022;1810.3
15.05.2022;1808.6
16.05.2022;1821.7
17.05.2022;1806.4
18.05.2022;1814.1
19.05.2022;1840.1
20.05.2022;1845.1
22.05.2022;1853.1
23.05.2022;1854
24.05.2022;1861.1
25.05.2022;1848.7
26.05.2022;1852.4
27.05.2022;1850.6
29.05.2022;1857.3
30.05.2022;1854.8
31.05.2022;1839
01.06.2022;1847.2
02.06.2022;1872.3
03.06.2022;1853.9
05.06.2022;1858.7
06.06.2022;1842.4
07.06.2022;1848.8
08.06.2022;1857.5
09.06.2022;1846.9
10.06.2022;1875.2
12.06.2022;1867
13.06.2022;1826.8
14.06.2022;1816.8
15.06.2022;1834.6
16.06.2022;1844.6
17.06.2022;1841.9
19.06.2022;1846
20.06.2022;1842.3
21.06.2022;1829.4
22.06.2022;1834.3
23.06.2022;1826.2
24.06.2022;1828.1
26.06.2022;1836.9
27.06.2022;1827.3
28.06.2022;1821.5
29.06.2022;1817.9
30.06.2022;1801.5
01.07.2022;1812.9
03.07.2022;1812.2
04.07.2022;1811.4
05.07.2022;1767.4
06.07.2022;1743.9
07.07.2022;1740.4
08.07.2022;1740.9
10.07.2022;1740.8
11.07.2022;1731.5
12.07.2022;1725.2
13.07.2022;1730.1
14.07.2022;1706
15.07.2022;1706.5
17.07.2022;1714.5
18.07.2022;1707.1
19.07.2022;1710.3
20.07.2022;1689
21.07.2022;1712.5
22.07.2022;1725.3
24.07.2022;1725.6
25.07.2022;1722.2
26.07.2022;1714.6
27.07.2022;1735
28.07.2022;1779.1
29.07.2022;1782.7
31.07.2022;1778
01.08.2022;1790.9
02.08.2022;1785
03.08.2022;1787
04.08.2022;1809
05.08.2022;1792.4
07.08.2022;1789.1
08.08.2022;1802
09.08.2022;1807.4
10.08.2022;1801.1
11.08.2022;1806.5
12.08.2022;1818.9
14.08.2022;1811.1
15.08.2022;1796.2
16.08.2022;1790.1
17.08.2022;1775.9
18.08.2022;1767.2
19.08.2022;1760.3
21.08.2022;1759.6
22.08.2022;1751.2
23.08.2022;1758.1
24.08.2022;1769.2
25.08.2022;1770.2
26.08.2022;1750.8
28.08.2022;1735.9
29.08.2022;1747.1
30.08.2022;1735.3
31.08.2022;1715.2
01.09.2022;1710.3
02.09.2022;1722.6
04.09.2022;1722.9
05.09.2022;1729
06.09.2022;1704
07.09.2022;1725.7
08.09.2022;1729.9
09.09.2022;1727.6
11.09.2022;1724
12.09.2022;1731.9
13.09.2022;1710.4
14.09.2022;1701.9
15.09.2022;1672.7
16.09.2022;1684.5
18.09.2022;1677.4
19.09.2022;1685.3
20.09.2022;1671.7
21.09.2022;1668.3
22.09.2022;1677
23.09.2022;1651.7
25.09.2022;1645.3
26.09.2022;1638.1
27.09.2022;1631.6
28.09.2022;1662.8
29.09.2022;1670.1
30.09.2022;1668.3
02.10.2022;1672.2
03.10.2022;1708.8
04.10.2022;1728.2
05.10.2022;1730.7
06.10.2022;1717.6
07.10.2022;1701.8
09.10.2022;1695.9
10.10.2022;1670.7
11.10.2022;1672
12.10.2022;1675.7
13.10.2022;1674.9
14.10.2022;1650.2
16.10.2022;1655.2
17.10.2022;1657.8
18.10.2022;1654.2
19.10.2022;1630.2
20.10.2022;1625.6
21.10.2022;1662.5
23.10.2022;1658.9
24.10.2022;1655.9
25.10.2022;1661.3
26.10.2022;1668.5
27.10.2022;1668.7
28.10.2022;1648.3
30.10.2022;1647.2
31.10.2022;1640.4
01.11.2022;1653.8
02.11.2022;1640
03.11.2022;1641.3
04.11.2022;1685.7
06.11.2022;1675.7
07.11.2022;1672.7
08.11.2022;1711.4
09.11.2022;1712.8
10.11.2022;1756.1
11.11.2022;1774.2
13.11.2022;1764.4
14.11.2022;1774
15.11.2022;1775.1
16.11.2022;1765
17.11.2022;1764.7
