<DATE>;SBER
24.03.2022;136.24
25.03.2022;131.5
28.03.2022;125
29.03.2022;128.77
30.03.2022;134.6
31.03.2022;143.69
01.04.2022;154.5
04.04.2022;166
05.04.2022;154.1
06.04.2022;141.6
07.04.2022;147.5
08.04.2022;143.72
11.04.2022;138.69
12.04.2022;135.38
13.04.2022;135.5
14.04.2022;129.05
15.04.2022;130.88
18.04.2022;123.85
19.04.2022;120.3
20.04.2022;121.5
21.04.2022;118.65
22.04.2022;116.97
25.04.2022;111.9
26.04.2022;122.36
27.04.2022;131.11
28.04.2022;123.85
29.04.2022;128.8
04.05.2022;123.2
05.05.2022;124.8
06.05.2022;123.1
11.05.2022;123.34
12.05.2022;119.15
13.05.2022;120.2
16.05.2022;123.41
17.05.2022;127.75
18.05.2022;125.12
19.05.2022;125.6
20.05.2022;122.2
23.05.2022;119.46
24.05.2022;123.6
25.05.2022;124.15
26.05.2022;123
27.05.2022;121.22
30.05.2022;120.67
31.05.2022;118.3
01.06.2022;121.97
02.06.2022;119
03.06.2022;119.21
06.06.2022;118.78
07.06.2022;118.32
08.06.2022;119.9
09.06.2022;118.2
10.06.2022;118.07
14.06.2022;118.98
15.06.2022;121.14
16.06.2022;123.73
17.06.2022;123.88
20.06.2022;131.29
21.06.2022;129.1
22.06.2022;133.11
23.06.2022;136.85
24.06.2022;137.76
27.06.2022;141.15
28.06.2022;139.99
29.06.2022;132.8
30.06.2022;125.2
01.07.2022;129.91
04.07.2022;131.43
05.07.2022;133.5
06.07.2022;134
07.07.2022;133.09
08.07.2022;133.3
11.07.2022;126.8
12.07.2022;129
13.07.2022;126
14.07.2022;125.9
15.07.2022;128.9
18.07.2022;128.11
19.07.2022;127.76
20.07.2022;126.44
21.07.2022;125.48
22.07.2022;128.82
25.07.2022;131.45
26.07.2022;132.9
27.07.2022;132.5
28.07.2022;131.72
29.07.2022;131.9
01.08.2022;127.34
02.08.2022;127.53
03.08.2022;126.85
04.08.2022;126.95
05.08.2022;122.4
08.08.2022;123.81
09.08.2022;126.4
10.08.2022;126.2
11.08.2022;123.45
12.08.2022;124.88
15.08.2022;125
16.08.2022;126.39
17.08.2022;124.5
18.08.2022;126.3
19.08.2022;125.2
22.08.2022;126.06
23.08.2022;130.38
24.08.2022;128.15
25.08.2022;128.18
26.08.2022;130.4
29.08.2022;131.17
30.08.2022;130.05
31.08.2022;134.25
01.09.2022;138.2
02.09.2022;143.8
05.09.2022;141
06.09.2022;137.23
07.09.2022;136.86
08.09.2022;134.51
09.09.2022;138.15
12.09.2022;138.7
13.09.2022;137
14.09.2022;138.9
15.09.2022;139.48
16.09.2022;137.73
19.09.2022;138.04
20.09.2022;125.1
21.09.2022;120.23
22.09.2022;124.31
23.09.2022;119.39
26.09.2022;107.06
27.09.2022;112.92
