<DATE>;SPX
24.03.2022;4520.16
25.03.2022;4543.06
28.03.2022;4575.52
29.03.2022;4631.6
30.03.2022;4602.45
31.03.2022;4530.41
01.04.2022;4545.86
04.04.2022;4582.64
05.04.2022;4525.12
06.04.2022;4481.15
07.04.2022;4500.21
08.04.2022;4488.28
11.04.2022;4412.53
12.04.2022;4397.45
13.04.2022;4446.59
14.04.2022;4392.59
18.04.2022;4391.69
19.04.2022;4462.21
20.04.2022;4459.45
21.04.2022;4393.66
22.04.2022;4271.78
25.04.2022;4296.12
26.04.2022;4175.2
27.04.2022;4183.96
28.04.2022;4287.5
29.04.2022;4131.93
02.05.2022;4155.38
03.05.2022;4175.48
04.05.2022;4300.17
05.05.2022;4146.87
06.05.2022;4123.34
09.05.2022;3991.24
10.05.2022;4001.05
11.05.2022;3935.18
12.05.2022;3930.08
13.05.2022;4023.89
16.05.2022;4008.01
17.05.2022;4088.85
18.05.2022;3923.68
19.05.2022;3900.79
20.05.2022;3901.36
23.05.2022;3973.75
24.05.2022;3941.48
25.05.2022;3978.73
26.05.2022;4057.84
27.05.2022;4158.24
31.05.2022;4132.15
01.06.2022;4101.23
02.06.2022;4176.82
03.06.2022;4108.54
06.06.2022;4121.43
07.06.2022;4160.68
08.06.2022;4115.77
09.06.2022;4017.82
10.06.2022;3900.86
13.06.2022;3749.63
14.06.2022;3735.48
15.06.2022;3789.99
16.06.2022;3666.77
17.06.2022;3674.84
21.06.2022;3764.79
22.06.2022;3759.89
23.06.2022;3795.73
24.06.2022;3911.74
27.06.2022;3900.11
28.06.2022;3821.55
29.06.2022;3818.83
30.06.2022;3785.38
01.07.2022;3825.33
05.07.2022;3831.39
06.07.2022;3845.08
07.07.2022;3902.62
08.07.2022;3899.38
11.07.2022;3854.43
12.07.2022;3818.8
13.07.2022;3801.78
14.07.2022;3790.38
15.07.2022;3863.16
18.07.2022;3830.85
19.07.2022;3936.69
20.07.2022;3959.9
21.07.2022;3998.95
22.07.2022;3961.63
25.07.2022;3966.84
26.07.2022;3921.05
27.07.2022;4023.61
28.07.2022;4072.43
29.07.2022;4130.29
01.08.2022;4118.63
02.08.2022;4091.19
03.08.2022;4155.17
04.08.2022;4151.94
05.08.2022;4145.19
08.08.2022;4140.06
09.08.2022;4122.47
10.08.2022;4210.24
11.08.2022;4207.27
12.08.2022;4280.15
15.08.2022;4297.14
16.08.2022;4305.2
17.08.2022;4274.04
18.08.2022;4283.74
19.08.2022;4228.48
22.08.2022;4137.99
23.08.2022;4128.73
24.08.2022;4140.77
25.08.2022;4199.12
26.08.2022;4057.66
29.08.2022;4030.61
30.08.2022;3986.16
31.08.2022;3955
01.09.2022;3966.85
02.09.2022;3924.26
06.09.2022;3908.19
07.09.2022;3979.87
08.09.2022;4006.18
09.09.2022;4067.36
12.09.2022;4110.41
13.09.2022;3932.69
14.09.2022;3946.01
15.09.2022;3901.35
16.09.2022;3873.33
19.09.2022;3899.89
20.09.2022;3855.93
21.09.2022;3789.93
22.09.2022;3757.99
23.09.2022;3693.23
26.09.2022;3655.04
27.09.2022;3647.29
28.09.2022;3719.04
