"Output","Treatment"
2.68565735955672,"A"
3.4022991482825,"A"
2.66475381302619,"A"
1.78651306747719,"A"
1.97404123103323,"A"
2.65146224788506,"A"
4.12144548914056,"A"
2.22657122411941,"A"
4.38217394129069,"A"
1.8634567196595,"A"
1.94880924585805,"A"
2.21527545089005,"A"
4.799026431617,"A"
3.60271633255069,"A"
4.56514424438304,"A"
0.275362495444818,"A"
1.1346640083531,"A"
2.1294555196024,"A"
2.42395641711235,"A"
1.57265874144025,"A"
2.66558207616542,"A"
2.48298364797321,"A"
3.03645619687819,"A"
1.61418703737288,"A"
2.11533151550722,"A"
3.40889859778635,"A"
2.41829320522634,"A"
2.96698351208588,"A"
3.2231166097276,"A"
3.47929624854237,"A"
2.57502239202508,"A"
3.39713596380132,"A"
3.26804897811415,"A"
1.66921743181942,"A"
3.90832304216694,"A"
2.35129864256623,"A"
4.35335229017717,"A"
3.62365803645939,"A"
1.70542445453455,"A"
4.64801867521445,"A"
2.3477169826131,"A"
2.73602231341212,"A"
4.10544422967121,"A"
2.1250531084132,"A"
3.37353666114419,"A"
4.15873656481902,"A"
4.26270123223947,"A"
2.61724040320732,"A"
2.98859110474809,"A"
2.6797564149961,"A"
1.33057532581746,"B"
2.64348029872621,"B"
1.69233359176898,"B"
2.79471464969561,"B"
1.19939683653627,"B"
3.55056586832347,"B"
1.84886305226483,"B"
3.06536239216714,"B"
1.33872584411181,"B"
0.230839903342686,"B"
2.34840610289833,"B"
4.05719066846811,"B"
1.87384725533221,"B"
2.84868668872114,"B"
1.69901967277567,"B"
1.72482697689397,"B"
1.44024586369064,"B"
2.29690872952395,"B"
2.32731148292748,"B"
2.31322302651605,"B"
2.34285646736799,"B"
1.41030316457353,"B"
2.85708490687939,"B"
2.35475475254313,"B"
2.30578352700877,"B"
0.240916833415201,"B"
2.59591273513842,"B"
2.22982520262085,"B"
-0.462839595738492,"B"
1.90215607381005,"B"
1.63261747578798,"B"
4.00491282814941,"B"
1.28746094157731,"B"
2.89176769302825,"B"
2.84815398375231,"B"
2.29071873402379,"B"
1.69870041799447,"B"
1.89162045020725,"B"
3.07675402228468,"B"
1.29275796354161,"B"
2.32163011855752,"B"
3.79401064086445,"B"
2.09596959640503,"B"
3.07757273223036,"B"
1.6435100963723,"B"
2.46286081197235,"B"
2.35315151597666,"B"
2.6849827047447,"B"
3.47855305176232,"B"
2.10330179976543,"B"
4.81947304470059,"C"
3.31820419659689,"C"
3.80911251219219,"C"
4.60210303136521,"C"
4.94659941329919,"C"
4.97403264142148,"C"
4.58320977287491,"C"
3.24525437367704,"C"
3.00909736839861,"C"
4.54026736914829,"C"
3.05323522021526,"C"
5.47782157762851,"C"
4.84504017520619,"C"
4.96160293198719,"C"
4.11734731302407,"C"
4.93398415799771,"C"
3.27601731266365,"C"
3.9932562075777,"C"
4.12108445300345,"C"
3.98474594234249,"C"
3.48350720720325,"C"
1.93185730533025,"C"
3.27567573523592,"C"
4.45009610151016,"C"
4.13936577451966,"C"
5.02455855175457,"C"
5.31277442387058,"C"
4.51576355693448,"C"
3.04296884951431,"C"
3.34904114296701,"C"
2.80482642400219,"C"
3.86041786899309,"C"
4.88850397300592,"C"
3.0974624268676,"C"
2.74183245448443,"C"
3.26785284329478,"C"
3.25232753051225,"C"
4.24491704273941,"C"
3.78986316647901,"C"
4.67715110688167,"C"
4.4749848034947,"C"
2.92122386085547,"C"
4.22027656301878,"C"
0.388786210884556,"C"
4.13213694364673,"C"
4.36138021525305,"C"
3.59077067653322,"C"
2.87918999173892,"C"
4.72649307506386,"C"
5.3394607608305,"C"
